,Date,Year,Type,Country,Area,Location,Activity,Injury,Fatal,Time,Species,address,Latitude,Longitude
0,25-Jun-2018,2018.0,Boating,USA,California,"Oceanside, San Diego County",other,"no injury to occupant, outrigger canoe and paddle damaged",No,18h00,white shark,"Oceanside, San Diego County,California,USA",33.1958696,-117.3794834
1,08-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,surfing,minor injury to lower leg,No,,2 m shark,"Arrawarra Headland,New South Wales,AUSTRALIA",-30.060426,153.2016851
2,03-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",surfing,"no injury, board bitten",No,,,"Flat Rock, Ballina,New South Wales,AUSTRALIA",-28.8429552,153.6079901360164
3,03-Jun-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",swimming,fatal,Yes,Late afternoon,tiger shark,"Piedade Beach, Recife,Pernambuco,BRAZIL",-8.1760585,-34.917877
4,26-May-2018,2018.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",walking,lower left leg bitten,No,17h00,"bull shark, 6'","Cocoa Beach, Brevard  County,Florida,USA",28.3194741,-80.6102592
5,26-May-2018,2018.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",other,minor injury to foot,No,14h00,,"Daytona Beach, Volusia County,Florida,USA",29.2108147,-81.0228331
6,24-May-2018,2018.0,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,feeding,minor bite to hand by captive shark. provoked incident,No,Morning,grey reef shark,"Cairns Aquarium,Queensland,AUSTRALIA",-16.9186011,145.77365282675595
7,21-May-2018,2018.0,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",surfing,injuries to lower right leg and foot,No,,,"Isle of Palms,  Charleston County,South Carolina,USA",32.7867697,-79.7880359
8,13-May-2018,2018.0,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",swimming,severe bite to right forearm,No,15h00,,"Hilton Head Island, Beaufort County,South Carolina,USA",32.1618488,-80.7512616
9,13-May-2018,2018.0,Invalid,ENGLAND,Cornwall,Off Land's End,fishing,injured by teeth of a dead porbeagle shark he was tossing overboard.,No,08h15,invalid incident,"Off Land's End,Cornwall,ENGLAND",50.0662633,-5.7148222
10,09-May-2018,2018.0,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",surfing,"no injury, surfboard damaged",No,10h30,shark involvement not confirmed,"Sharpes Beach, Ballina,New South Wales,AUSTRALIA",-28.83757345,153.60440400883255
11,28-Apr-2018,2018.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,diving,"no injury, shark bit scuba gear",No,10h40,tiger shark,"Manuelita,Cocos Island,COSTA RICA",5.561372,-87.04767007689017
12,25-Apr-2018,2018.0,Questionable,AUSTRALIA,New South Wales,Lennox Head,surfing,no injury,No,07h00,questionable,"Lennox Head,New South Wales,AUSTRALIA",-28.7910334,153.5878047
13,25-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",surfing,"no injury, knocked off board by shark",No,09h30,3 m shark,"Surfers Point, Prevelly,Western Australia,AUSTRALIA",-33.976757,114.9859179
14,14-Apr-2018,2018.0,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,surfing,no injury. shark swam away with the surf board,No,09h30,tiger shark,"Nirvana Beach,New Providence,BAHAMAS",25.0632358,-77.4884097
15,09-Apr-2018,2018.0,Unprovoked,NEW CALEDONIA,,"Magenta Beach, Noumea",surfing,"no injury, shark bit board",No,17h00,2 m shark,"Magenta Beach, Noumea,nan,NEW CALEDONIA",-22.27213,166.4642372
16,05-Apr-2018,2018.0,Unprovoked,BAHAMAS,,Bimini,swimming,"2 puncture wounds to left foot, abrasion to right foot",No,18h00,bull shark,"Bimini,nan,BAHAMAS",25.720065,-79.2744573
17,31-Mar-2018,2018.0,Unprovoked,USA,Hawaii,Kukio Beach,other,injuries to right leg & hand,No,09h30,"tiger shark, 12'","Kukio Beach,Hawaii,USA",19.817363,-155.9987741
18,14-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,walking,minor injuries to legs,No,17h35,wobbegong shark,"Waterman's Bay,Western Australia,AUSTRALIA",-31.8490984,115.7554654
